Archivo;Tamaño(K);Cant Palabras Inicial;Cant Palabras depuradas;Vocabulario Inicial;Vocabulario Final
1407.5965.txt;63;11904;9366;1385;891
1101.1640.txt;43;8110;6431;939;505
1402.1607.txt;23;4418;3705;746;468
1410.4060.txt;37;6940;5150;1203;769
1505.00398.txt;70;12143;10204;1665;968
1505.01668.txt;80;13864;11429;1799;1145
1508.01014.txt;37;7297;5674;879;519
1504.07056.txt;131;25116;19474;1935;1117
1211.3234.txt;70;12349;10187;1478;916
1403.4861.txt;48;8764;7503;1344;827
1310.5251.txt;68;12125;9614;1667;1049
1511.02599.txt;100;17910;15576;1720;993
1411.5878.txt;136;21493;18830;3319;2036
0911.1546.txt;29;4355;3971;1274;867
1412.0291.txt;137;22505;19219;3307;1969
1509.03484.txt;33;5475;4680;1194;829
1409.1714.txt;33;5772;4912;1343;878
1006.1030.txt;51;8187;6869;1500;984
1502.01865.txt;61;12236;9751;1207;714
1506.08353.txt;18;3222;2602;778;514
1502.01494.txt;28;5397;4425;858;548
1309.6927.txt;31;6945;4202;928;569
1505.03898.txt;48;8948;6989;1254;785
1503.04099.txt;45;8266;6705;1297;806
1508.00315.txt;70;12100;9966;1786;1090
1509.07127.txt;52;9881;7451;1181;773
1209.6626.txt;18;3365;2526;709;466
1101.1934.txt;132;28029;20322;1585;893
1511.01249.txt;121;21584;17419;2014;1174
1412.8324.txt;38;6658;5728;1160;765
1509.05498.txt;62;11195;8085;1167;659
1407.0756.txt;39;6840;5725;1218;755
1508.07065.txt;84;16919;12482;1656;1110
1309.3701.txt;99;19230;16237;1850;1061
1510.08368.txt;27;4847;3807;812;494
1409.6777.txt;41;7312;6361;1057;670
1507.06111.txt;114;22928;18081;1872;1101
1407.6169.txt;43;8170;6587;1151;737
1501.03043.txt;103;18625;15141;1772;1082
1212.6751.txt;56;10603;8884;1413;880
1411.0998.txt;106;19830;15592;1901;1166
1509.07417.txt;157;30560;25078;2098;1149
1412.4586.txt;42;7903;6476;1014;614
1502.02908.txt;64;10544;9220;2103;1358
1408.2467.txt;38;6728;5157;1375;929
1309.0671.txt;40;6725;5964;1474;978
0911.1507.txt;20;3042;2853;928;615
1505.04343.txt;110;19917;15635;1963;1214
1509.07314.txt;36;6327;5264;1013;645
1409.2248.txt;32;5900;3348;883;547
1412.2684.txt;47;7874;6047;1319;848
1204.1160.txt;56;9590;8047;1563;1002
1410.3351.txt;96;19018;13817;1774;1101
1411.7346.txt;122;22715;17997;2197;1274
1509.01683.txt;225;41731;36257;2571;1393
1109.2162.txt;55;11025;9217;1138;691
1506.00573.txt;43;7271;6729;1518;940
1501.03347.txt;109;19161;15591;1787;1107
1508.00945.txt;60;11414;8611;1143;689
1509.07808.txt;54;10856;8559;1336;819
1108.1915.txt;25;4506;3859;951;587
1411.4823.txt;28;4794;4184;978;592
1409.7579.txt;66;11178;9789;1854;1179
1203.5706.txt;76;16058;11616;1399;876
1504.04869.txt;25;5039;4030;706;443
1505.06897.txt;59;10006;8082;1698;1067
1303.0926.txt;98;21317;14801;1028;637
1409.2908.txt;77;12791;10727;1774;1077
0903.1291.txt;26;4803;4095;861;536
1306.3261.txt;54;8294;7364;1623;1040
1412.7172.txt;77;14401;11915;1713;1076
1403.1142.txt;192;39307;29258;2217;1290
1309.5568.txt;33;5611;5349;1489;949
1402.7242.txt;40;8635;6326;790;496
1505.04911.txt;50;8873;7452;1536;925
1411.1420.txt;204;42022;31486;2431;1408
1403.1080.txt;76;12598;12237;2118;1170
1210.2440.txt;42;8004;6525;1235;808
1406.0263.txt;40;7644;5297;1051;706
1304.6896.txt;22;4515;3436;464;298
1211.6468.txt;38;6382;5585;1386;882
1501.05151.txt;65;11696;8922;1499;908
1405.2690.txt;39;6839;5345;1047;633
1307.6864.txt;59;10898;8713;1798;1124
1508.06589.txt;50;9116;6979;1225;783
1511.00725.txt;38;6006;5339;1096;668
1503.00207.txt;41;7100;5852;1192;754
1510.07357.txt;106;18680;17078;1794;985
1508.00641.txt;52;9496;8165;1277;799
1508.04606.txt;33;6136;4558;1015;669
1501.07584.txt;21;3545;2799;883;563
1102.0969.txt;69;13912;10848;1502;907
1211.0071.txt;8;1378;1162;494;321
1307.3544.txt;58;11393;7942;1144;674
1502.00112.txt;28;5852;4026;613;350
1511.06436.txt;76;13755;11720;1389;771
1509.01347.txt;40;6263;5083;1223;759
1301.2158.txt;59;8735;7872;1869;1117
1501.03872.txt;22;3318;2676;736;423
1511.00876.txt;119;24301;19835;1766;1013
1407.5536.txt;72;11523;10383;1549;968
1507.03838.txt;28;4721;4255;929;591
1511.00523.txt;109;21296;16393;1632;930
1206.4656.txt;28;4393;4184;1418;957
1509.07552.txt;67;11752;10479;1848;1064
1312.3614.txt;84;16050;11835;1426;870
1408.1025.txt;14;2374;2116;598;388
1506.03171.txt;57;10728;8945;1250;763
1502.05632.txt;146;30791;23214;1334;728
1507.01088.txt;119;23840;19203;1657;992
1511.08416.txt;44;8268;7263;1125;688
1311.6876.txt;56;9276;8112;1342;832
1501.04343.txt;92;17806;14290;1469;885
